Remainder,Steps,Decision_Tree,Score,Success
1231112,7,"['Step1: (4,5,9) (4,5)', 'Step2: (9) (9)', 'Step3: (8) (8)', 'Step4: (10) (10)', 'Step5: (7) (7)', 'Step6: (6) (6)']",3,FALSE
1261012,7,"['Step1: (4,3,7) (4,3)', 'Step2: (9) (9)', 'Step3: (5,6,11) (11)', 'Step4: (8) (8)', 'Step5: (7) (7)', 'Step6: (5) (5)']",3,FALSE
26791011,6,"['Step1: (12) (12)', 'Step2: (4,1,5) (5)', 'Step3: (1,4) (1,4)', 'Step4: (3) (3)', 'Step5: (8) (8)']",2,FALSE
14789101112,4,"['Step1: (2) (2)', 'Step2: (5,3,8) (5,3)', 'Step3: (6) (6)']",1,FALSE
2791112,6,"['Step1: (4,6,10) (4,6)', 'Step2: (10) (10)', 'Step3: (8) (8)', 'Step4: (5) (5)', 'Step5: (3,1) (3,1)']",3,FALSE
268912,7,"['Step1: (2,5,7) (7)', 'Step2: (10) (10)', 'Step3: (4,1,5) (4,1)', 'Step4: (5) (5)', 'Step5: (3) (3)', 'Step6: (11) (11)']",4,FALSE
1234791112,4,"['Step1: (5,6,11) (5,6)', 'Step2: (8) (8)', 'Step3: (10) (10)']",1,FALSE
13468912,6,"['Step1: (2) (2)', 'Step2: (6,5,11) (11)', 'Step3: (7) (7)', 'Step4: (5) (5)', 'Step5: (10) (10)']",2,FALSE
23789101112,3,"['Step1: (6,1,7) (6,1)', 'Step2: (5,4,9) (5,4)']",1,FALSE
14589101112,4,"['Step1: (6) (6)', 'Step2: (2,3,5) (2,3)', 'Step3: (7) (7)']",1,FALSE
68101112,7,"['Step1: (6,3,9) (9)', 'Step2: (2) (2)', 'Step3: (3) (3)', 'Step4: (5,1,6) (5,1)', 'Step5: (7) (7)', 'Step6: (4) (4)']",2,FALSE
4789101112,4,"['Step1: (1,2,3) (1,2)', 'Step2: (5) (5)', 'Step3: (6,3,9) (6,3)']",1,FALSE
13591112,6,"['Step1: (6,4,10) (10)', 'Step2: (2,4,6) (6)', 'Step3: (7) (7)', 'Step4: (2,4) (2,4)', 'Step5: (8) (8)']",2,FALSE
14891112,6,"['Step1: (3,2,5) (5)', 'Step2: (4,6,10) (10)', 'Step3: (6,3,9) (6,3)', 'Step4: (2) (2)', 'Step5: (7) (7)']",2,FALSE
345679101112,3,"['Step1: (6,2,8) (8)', 'Step2: (2,1,3) (2,1)']",1,FALSE
2357101112,5,"['Step1: (6,4,10) (6,4)', 'Step2: (9) (9)', 'Step3: (8) (8)', 'Step4: (1,5) (1)']",1,FALSE
12357101112,5,"['Step1: (3,6,9) (9)', 'Step2: (8) (8)', 'Step3: (4) (4)', 'Step4: (6) (6)']",1,FALSE
